ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_indicator,note_source
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_PRI,2008,407.5817,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_TOTAL,2009,1160.5079,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_PUB,2009,192.1117,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_PRI,2009,968.3963,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_TOTAL,2009,663.2638,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_PUB,2009,105.3367,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_PRI,2009,557.9271,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_TOTAL,2009,497.2441,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_PUB,2009,86.775,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_PRI,2009,410.4691,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_TOTAL,2010,1167.2413,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_PUB,2010,185.9148,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_PRI,2010,981.3265,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_TOTAL,2010,669.7443,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_PUB,2010,99.6443,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_PRI,2010,570.1,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_TOTAL,2010,497.497,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_PUB,2010,86.2705,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_PRI,2010,411.2265,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_TOTAL,2011,1159.4708,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_PUB,2011,165.1392,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_PRI,2011,994.3316,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_TOTAL,2011,648.2424,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_PUB,2011,94.4153,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_PRI,2011,553.827,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_TOTAL,2011,511.2284,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_PUB,2011,70.7238,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_PRI,2011,440.5046,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_TOTAL,2012,1133.8462,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_PUB,2012,169.019,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_PRI,2012,964.8273,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_TOTAL,2012,633.4645,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_PUB,2012,95.2065,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_PRI,2012,538.258,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_TOTAL,2012,500.3817,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_PUB,2012,73.8124,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_PRI,2012,426.5693,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_TOTAL,2013,1024.1406,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_PUB,2013,172.5706,,,R1:3513
